cub_id,inat_taxon_id,ebird_species_code,taxon_order,kingdom,phylum,class,order,family,genus,specific_epithet,scientific_name,kingdom_common_name,phylum_common_name,class_common_name,order_common_name,family_common_name,genus_common_name,common_name
46,558439,gadwal,468.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,strepera,Mareca strepera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,Gadwall
87,6930,mallar3,505.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Mallard
89,7109,hoomer,700.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Lophodytes cucullatus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Hooded Merganser
90,6996,rebmer,716.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Mergus serrator,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Red-breasted Merganser
52,4246,pibgre,1813.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Animals,Chordates,Birds,Grebes,Grebes,Pied-billed and Atitlán Grebes,Pied-billed Grebe
51,4209,horgre,1824.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,auritus,Podiceps auritus,Animals,Chordates,Birds,Grebes,Grebes,Typical Grebes,Horned Grebe
50,4205,eargre,1834.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,nigricollis,Podiceps nigricollis,Animals,Chordates,Birds,Grebes,Grebes,Typical Grebes,Eared Grebe
53,4235,wesgre,1846.0,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Aechmophorus occidentalis,Animals,Chordates,Birds,Grebes,Grebes,Western and Clark's Grebes,Western Grebe
4,1972,grbani,3002.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,Crotophaga sulcirostris,Animals,Chordates,Birds,Cuckoos,Cuckoos,Anis,Groove-billed Ani
110,1986,greroa,3013.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx,californianus,Geococcyx californianus,Animals,Chordates,Birds,Cuckoos,Cuckoos,Roadrunners,Greater Roadrunner
33,1965,yebcuc,3206.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,Coccyzus americanus,Animals,Chordates,Birds,Cuckoos,Cuckoos,Coccyzus Cuckoos,Yellow-billed Cuckoo
32,1964,mancuc,3209.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,minor,Coccyzus minor,Animals,Chordates,Birds,Cuckoos,Cuckoos,Coccyzus Cuckoos,Mangrove Cuckoo
31,1960,bkbcuc,3211.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Coccyzus erythropthalmus,Animals,Chordates,Birds,Cuckoos,Cuckoos,Coccyzus Cuckoos,Black-billed Cuckoo
92,19577,comnig,3482.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Nightjars and Nighthawks,Typical Nighthawks,Common Nighthawk
22,199833,chwwid,3584.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,Antrostomus carolinensis,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Nightjars and Nighthawks,Typical American Nightjars,Chuck-will's-widow
105,199837,easwpw1,3604.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus,Antrostomus vociferus,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Nightjars and Nighthawks,Typical American Nightjars,Eastern Whip-poor-will
70,508366,grnvie1,4301.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Colibri,thalassinus,Colibri thalassinus,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,Violetears,Mexican Violetear
68,6432,rthhum,4741.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,colubris,Archilochus colubris,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,Ruby-throated and Black-chinned Hummingbirds,Ruby-throated Hummingbird
67,6317,annhum,4752.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Calypte,anna,Calypte anna,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,Anna's and Costa's Hummingbirds,Anna's Hummingbird
69,6363,rufhum,4763.0,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,rufus,Selasphorus rufus,Animals,Chordates,Birds,"Nightjars, Swifts, Hummingbirds, and Allies",Hummingbirds,"Rufous, Allen's, and Allied Hummingbirds",Rufous Hummingbird
72,4491,pomjae,6274.0,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,Stercorarius pomarinus,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies",Skuas and Jaegers,Jaegers,Pomarine Jaeger
71,4481,lotjae,6277.0,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Stercorarius longicaudus,Animals,Chordates,Birds,"Gulls, Buttonquails, Sandpipers, Plovers and Allies",Skuas and Jaegers,Jaegers,Long-tailed Jaeger
