nabirds_id,inat_taxon_id,ebird_species_code,taxon_order,kingdom,phylum,class,order,family,genus,specific_epithet,scientific_name,kingdom_common_name,phylum_common_name,class_common_name,order_common_name,family_common_name,genus_common_name,common_name
24,6893,bbwduc,230.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Dendrocygna autumnalis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Whistling-Ducks,Black-bellied Whistling-Duck
610,6893,bbwduc,230.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Dendrocygna autumnalis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Whistling-Ducks,Black-bellied Whistling-Duck
33,558426,snogoo,252.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,caerulescens,Anser caerulescens,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Gray Geese,Snow Goose
313,558426,snogoo,252.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,caerulescens,Anser caerulescens,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Gray Geese,Snow Goose
611,558426,snogoo,252.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,caerulescens,Anser caerulescens,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Gray Geese,Snow Goose
36,558427,rosgoo,256.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,rossii,Anser rossii,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Gray Geese,Ross's Goose
612,558427,rosgoo,256.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,rossii,Anser rossii,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Gray Geese,Ross's Goose
27,7019,gwfgoo,267.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,albifrons,Anser albifrons,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Gray Geese,Greater White-fronted Goose
454,7019,gwfgoo,267.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,albifrons,Anser albifrons,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Gray Geese,Greater White-fronted Goose
42,7087,brant,291.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,bernicla,Branta bernicla,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Black Geese,Brant
